Training time: 886.5839130878448 seconds
Final Test Accuracy: 0.9304296989184448
Epoch,Train Loss,Val Accuracy,Test Accuracy
185,1.2874,0.9305,0.9246
186,1.2878,0.9194,0.9179
187,1.2865,0.9252,0.9225
188,1.2938,0.9258,0.9214
189,1.2914,0.9328,0.9237
190,1.2915,0.9398,0.9293
191,1.2975,0.9124,0.9126
192,1.2891,0.9270,0.9275
193,1.2900,0.9100,0.9094
194,1.3000,0.9194,0.9193
195,1.2949,0.9235,0.9243
196,1.2892,0.9223,0.9199
197,1.2873,0.9194,0.9237
198,1.2883,0.9182,0.9158
199,1.2896,0.9235,0.9249
200,1.2868,0.9282,0.9304
