Training time: 1489.686868429184 seconds
Final Test Accuracy: 0.9254603916983338
Epoch,Train Loss,Val Accuracy,Test Accuracy
185,0.0000,0.9322,0.9263
186,0.0000,0.9334,0.9258
187,0.0000,0.9334,0.9260
188,0.0000,0.9328,0.9263
189,0.0000,0.9328,0.9266
190,0.0000,0.9328,0.9258
191,0.0000,0.9322,0.9260
192,0.0000,0.9328,0.9255
193,0.0000,0.9328,0.9255
194,0.0000,0.9328,0.9249
195,0.0000,0.9340,0.9246
196,0.0000,0.9322,0.9252
197,0.0000,0.9340,0.9255
198,0.0000,0.9340,0.9258
199,0.0000,0.9340,0.9255
200,0.0000,0.9340,0.9255
