Training time: 1409.7807681560516 seconds
Final Test Accuracy: 0.40543700672318034
Epoch,Train Loss,Val Accuracy,Test Accuracy
185,1.8675,0.4089,0.4054
186,1.8676,0.4089,0.4054
187,1.8674,0.4089,0.4054
188,1.8675,0.4089,0.4054
189,1.8675,0.4089,0.4054
190,1.8676,0.4089,0.4054
191,1.8675,0.4089,0.4054
192,1.8675,0.4089,0.4054
193,1.8676,0.4089,0.4054
194,1.8675,0.4089,0.4054
195,1.8676,0.4089,0.4054
196,1.8675,0.4089,0.4054
197,1.8676,0.4089,0.4054
198,1.8675,0.4089,0.4054
199,1.8675,0.4089,0.4054
200,1.8675,0.4089,0.4054
